,Date,Price,Open,High,Low,Vol.,Change %
587,06/01/2021,247.4,251.23,251.29,246.96,23.21,-0.91%
588,05/28/2021,249.68,250.99,252.08,249.56,18.27,0.15%
589,05/27/2021,249.31,251.17,251.48,249.25,24.43,-0.87%
590,05/26/2021,251.49,251.43,252.94,250.75,17.77,-0.09%
591,05/25/2021,251.72,251.77,252.75,250.82,17.7,0.37%
592,05/24/2021,250.78,247.79,251.16,247.51,21.41,2.29%
593,05/21/2021,245.17,247.57,248.33,244.74,21.86,-0.53%
594,05/20/2021,246.48,243.96,247.95,243.86,21.8,1.38%
595,05/19/2021,243.12,239.31,243.23,238.6,25.74,0.02%
596,05/18/2021,243.08,246.27,246.41,242.9,20.17,-0.86%
597,05/17/2021,245.18,246.55,246.59,243.52,24.97,-1.20%
598,05/14/2021,248.15,245.57,249.18,245.49,23.9,2.11%
599,05/13/2021,243.03,241.8,245.6,241.42,29.62,1.69%
600,05/12/2021,239.0,242.16,244.38,238.07,36.68,-2.94%
601,05/11/2021,246.23,244.55,246.6,242.57,33.64,-0.38%
602,05/10/2021,247.18,250.87,251.73,247.12,29.3,-2.09%
603,05/07/2021,252.46,252.15,254.3,251.17,27.03,1.09%
604,05/06/2021,249.73,246.45,249.86,244.69,26.49,1.32%
605,05/05/2021,246.47,249.06,249.5,245.82,21.9,-0.53%
606,05/04/2021,247.79,250.97,251.21,245.76,32.76,-1.62%
607,05/03/2021,251.86,253.4,254.35,251.12,19.63,-0.13%
608,04/30/2021,252.18,249.74,253.08,249.6,30.95,-0.13%
609,04/29/2021,252.51,255.46,256.1,249.0,40.59,-0.81%
610,04/28/2021,254.56,256.08,256.54,252.95,46.9,-2.83%
611,04/27/2021,261.97,261.58,263.19,260.12,31.01,0.16%
612,04/26/2021,261.55,261.66,262.43,260.17,19.76,0.15%
613,04/23/2021,261.15,257.88,261.51,257.27,21.5,1.55%
614,04/22/2021,257.17,260.21,261.78,255.64,25.61,-1.31%
615,04/21/2021,260.58,258.94,260.68,257.25,24.03,0.90%
616,04/20/2021,258.26,257.82,260.2,256.84,19.72,-0.19%
617,04/19/2021,258.74,260.19,261.48,257.82,23.21,-0.77%
618,04/16/2021,260.74,259.47,261.0,257.6,24.88,0.48%
619,04/15/2021,259.5,257.93,259.93,257.73,25.63,1.53%
620,04/14/2021,255.59,257.48,258.83,255.16,23.07,-1.12%
621,04/13/2021,258.49,257.26,259.19,256.83,23.84,1.01%
622,04/12/2021,255.91,254.71,257.67,254.62,27.15,0.02%
623,04/09/2021,255.85,252.87,255.99,252.44,24.33,1.03%
624,04/08/2021,253.25,252.77,254.14,252.0,23.63,1.34%
625,04/07/2021,249.9,247.81,250.93,247.19,22.72,0.82%
626,04/06/2021,247.86,247.61,249.4,246.88,22.93,-0.49%
627,04/05/2021,249.07,242.76,249.96,242.7,36.91,2.77%
628,04/01/2021,242.35,238.47,242.84,238.05,30.34,2.79%
629,03/31/2021,235.77,232.91,239.1,232.39,43.62,1.69%
630,03/30/2021,231.85,233.52,233.85,231.1,24.79,-1.44%
631,03/29/2021,235.24,236.59,236.8,231.88,25.23,-0.52%
632,03/26/2021,236.48,231.55,236.71,231.55,25.48,1.78%
633,03/25/2021,232.34,235.3,236.94,231.57,34.06,-1.33%
634,03/24/2021,235.46,237.85,238.0,235.32,25.62,-0.89%
635,03/23/2021,237.58,237.49,241.05,237.07,31.64,0.67%
636,03/22/2021,235.99,230.27,236.9,230.14,30.13,2.45%
637,03/19/2021,230.35,231.02,232.47,229.35,46.43,-0.16%
638,03/18/2021,230.72,232.56,234.19,230.33,34.85,-2.67%
639,03/17/2021,237.04,236.15,238.55,233.23,29.56,-0.28%
640,03/16/2021,237.71,236.28,240.05,235.94,28.09,1.24%
641,03/15/2021,234.81,234.96,235.18,231.81,26.04,-0.40%
642,03/12/2021,235.75,234.01,235.82,233.23,22.65,-0.58%
643,03/11/2021,237.13,234.96,239.17,234.31,29.91,2.03%
644,03/10/2021,232.42,237.0,237.0,232.04,29.75,-0.58%
645,03/09/2021,233.78,232.88,235.38,231.67,33.08,2.81%
646,03/08/2021,227.39,231.37,233.37,227.13,35.27,-1.82%
647,03/05/2021,231.6,229.52,233.27,226.46,41.87,2.15%
648,03/04/2021,226.73,226.74,232.49,224.26,44.73,-0.36%
649,03/03/2021,227.56,232.15,233.58,227.26,34.03,-2.70%
650,03/02/2021,233.87,237.01,237.3,233.45,22.81,-1.30%
651,03/01/2021,236.94,235.9,237.47,233.15,25.33,1.96%
652,02/26/2021,232.38,231.52,235.37,229.54,37.82,1.48%
653,02/25/2021,228.99,232.08,234.59,227.88,39.54,-2.37%
654,02/24/2021,234.55,230.01,235.2,229.0,26.34,0.55%
655,02/23/2021,233.27,230.32,234.83,228.73,30.23,-0.53%
656,02/22/2021,234.51,237.42,237.93,232.4,36.45,-2.68%
657,02/19/2021,240.97,243.75,243.86,240.18,25.26,-1.16%
658,02/18/2021,243.79,241.8,243.93,240.86,16.93,-0.17%
659,02/17/2021,244.2,241.32,244.31,240.94,21.67,0.21%
660,02/16/2021,243.7,245.03,246.13,242.92,26.73,-0.53%
661,02/12/2021,244.99,243.93,245.3,242.73,16.56,0.20%
662,02/11/2021,244.49,244.78,245.15,242.15,15.75,0.69%
663,02/10/2021,242.82,245.0,245.92,240.89,22.19,-0.39%
664,02/09/2021,243.77,241.87,244.76,241.38,23.56,0.54%
665,02/08/2021,242.47,243.15,243.68,240.81,22.21,0.11%
666,02/05/2021,242.2,242.23,243.28,240.42,18.05,0.08%
667,02/04/2021,242.01,242.66,243.24,240.37,25.3,-0.41%
668,02/03/2021,243.0,239.57,245.09,239.26,27.16,1.46%
669,02/02/2021,239.51,241.3,242.31,238.69,25.92,-0.06%
670,02/01/2021,239.65,235.06,242.5,232.43,33.31,3.32%
671,01/29/2021,231.96,235.99,238.02,231.35,42.5,-2.92%
672,01/28/2021,238.93,235.61,242.64,235.09,49.11,2.59%
673,01/27/2021,232.9,238.0,240.44,230.14,69.87,0.25%
674,01/26/2021,232.33,231.86,234.18,230.08,49.17,1.22%
675,01/25/2021,229.53,229.12,229.78,224.22,33.15,1.58%
676,01/22/2021,225.95,227.08,230.07,225.8,30.17,0.44%
677,01/21/2021,224.97,224.7,226.3,222.42,30.75,0.28%
678,01/20/2021,224.34,217.7,225.79,217.29,37.78,3.65%
679,01/19/2021,216.44,213.75,216.98,212.63,30.48,1.78%
680,01/15/2021,212.65,213.52,214.51,212.03,31.75,-0.17%
681,01/14/2021,213.02,215.91,217.46,212.74,29.35,-1.53%
682,01/13/2021,216.34,214.02,216.76,213.93,20.09,0.66%
683,01/12/2021,214.93,216.5,217.1,213.32,23.25,-1.18%
684,01/11/2021,217.49,218.47,218.91,216.73,23.05,-0.97%
685,01/08/2021,219.62,218.68,220.58,217.03,22.96,0.61%
686,01/07/2021,218.29,214.04,219.34,213.71,27.69,2.85%
687,01/06/2021,212.25,212.17,216.49,211.94,35.93,-2.59%
688,01/05/2021,217.9,217.26,218.52,215.7,23.82,0.10%
689,01/04/2021,217.69,222.53,223.0,214.81,37.13,-2.13%
690,12/31/2020,222.42,221.7,223.0,219.68,20.94,0.33%
691,12/30/2020,221.68,225.23,225.63,221.47,20.27,-1.10%
692,12/29/2020,224.15,226.31,227.18,223.58,17.4,-0.36%
693,12/28/2020,224.96,224.45,226.03,223.02,17.93,0.99%
695,12/23/2020,221.02,223.11,223.56,220.8,18.7,-1.30%
696,12/22/2020,223.94,222.69,225.63,221.85,22.64,0.61%
697,12/21/2020,222.59,217.55,224.0,217.28,37.18,1.83%
698,12/18/2020,218.59,218.59,219.69,216.02,63.35,-0.38%
699,12/17/2020,219.42,219.87,220.89,217.92,32.52,0.06%
700,12/16/2020,219.28,214.75,220.11,214.72,35.02,2.41%
701,12/15/2020,214.13,215.16,215.42,212.24,27.02,-0.03%
702,12/14/2020,214.2,213.1,216.21,212.88,28.8,0.44%
703,12/11/2020,213.26,210.05,213.32,209.11,30.98,1.30%
704,12/10/2020,210.52,211.77,213.08,210.36,26.47,-0.60%
705,12/09/2020,211.8,215.16,215.23,211.21,32.44,-1.95%
706,12/08/2020,216.01,213.97,216.95,212.89,23.28,0.80%
707,12/07/2020,214.29,214.37,215.54,212.99,24.62,-0.03%
708,12/04/2020,214.36,214.22,215.38,213.18,24.67,0.06%
709,12/03/2020,214.24,214.61,216.38,213.65,25.12,-0.52%
710,12/02/2020,215.37,214.88,215.47,212.8,23.72,-0.39%
711,12/01/2020,216.21,214.51,217.32,213.35,30.93,1.00%
712,11/30/2020,214.07,214.1,214.76,210.84,33.06,-0.54%
714,11/25/2020,213.87,215.11,215.29,212.46,21.01,0.00%
715,11/24/2020,213.86,209.59,214.25,208.86,33.98,1.78%
716,11/23/2020,210.11,210.95,212.29,208.16,25.68,-0.13%
717,11/20/2020,210.39,212.2,213.29,210.0,22.84,-0.96%
718,11/19/2020,212.42,211.38,213.03,209.93,24.79,0.63%
719,11/18/2020,211.08,213.65,215.17,210.93,28.37,-1.58%
720,11/17/2020,214.46,216.1,217.68,214.08,24.15,-1.28%
721,11/16/2020,217.23,214.87,217.74,214.52,24.95,0.33%
722,11/13/2020,216.51,216.36,217.42,214.16,18.63,0.50%
723,11/12/2020,215.44,217.21,219.11,214.46,21.62,-0.51%
724,11/11/2020,216.55,212.39,218.04,212.2,29.44,2.63%
725,11/10/2020,211.01,214.5,216.5,209.72,44.05,-3.38%
726,11/09/2020,218.39,224.43,228.12,217.88,44.39,-2.38%
727,11/06/2020,223.72,222.26,224.36,218.03,25.23,0.19%
728,11/05/2020,223.29,222.04,224.12,221.15,36.08,3.19%
729,11/04/2020,216.39,214.02,218.32,212.42,42.31,4.82%
730,11/03/2020,206.43,203.89,208.12,203.12,27.51,2.03%
